"group_key","anchor","tables","k","items_total","items_min","n_min","n_max","same_n","cells_est","eligible","score"
"doi:10.1111/ijsa.12323","caetano-santos-masi-2021","caetano-santos-masi-2021|caetano-santos-lsas-2021",2,54,24,436,436,TRUE,23544,FALSE,4.27948648926859
"doi:10.1371/journal.pone.0280313","menaldi_2023_mbi","menaldi_2023_mbi|menaldi_2023_brief_cope",2,50,22,388,388,TRUE,19400,FALSE,4.25549839226087
"doi:10.1371/journal.pone.0313043","park_2024_mbi","park_2024_mbi|park_2024_ageism",2,40,18,331,331,TRUE,13240,FALSE,4.25316132710905
"doi:10.1371/journal.pone.0305588","koirala_2024_pss10","koirala_2024_pss10|koirala_2024_brief_cope",2,38,10,317,317,TRUE,12046,FALSE,4.24772592888442
"doi:10.3758/s13428-023-02115-3","WMI_Read_Han","WMI_Read_Han|WMI_Rot_Han",2,27,12,262,264,FALSE,7104,FALSE,4.23830129131975
"doi:10.1371/journal.pone.0269928","turner_2022_cognitive_mediation","turner_2022_cognitive_mediation|turner_2022_sr_belief_change",2,24,9,250,250,TRUE,6000,FALSE,4.23794000867204
"doi:10.1371/journal.pone.0242902","johnhenderson_2020_disinfection_behavior","johnhenderson_2020_disinfection_behavior|johnhenderson_2020_health_mindset",2,7,3,192,192,TRUE,1344,FALSE,4.23663456203688
"doi:10.1371/journal.pone.0246887","park_2021_swls","park_2021_swls|park_2021_pss10",2,15,5,208,208,TRUE,3120,FALSE,4.21806333496276
"doi:10.1371/journal.pone.0249562","aguirre_camacho_2021_shai","aguirre_camacho_2021_shai|aguirre_camacho_2021_champion",2,26,8,244,442,FALSE,7928,FALSE,4.2140564930054
"bib:@misc{immer,
  title = {immer: Item Response Models for Multiple Ratings},
  author = {},
  year = {},
  url = {https://cran.r-project.org/web/packages/immer/index.html},
  note = {CRAN - Package immer},
  organization = {CRAN}
}","immer12_immer","immer12_immer|ptam1_immer|immer10_immer",3,19,2,20,6877,FALSE,14627,FALSE,4.17436332899731
"doi:https://doi.org/10.7910/DVN/8YLSMK","falih_2026_mds16","falih_2026_mds16|falih_2026_dass21",2,37,16,262,262,TRUE,9694,FALSE,4.17163462465308
"doi:10.1371/journal.pone.0258323","chen_2021_acculturation","chen_2021_acculturation|chen_2021_enculturation",2,48,24,310,310,TRUE,14880,FALSE,4.17136169383427
"doi:10.1371/journal.pone.0215087","chen_2019_cdrsc","chen_2019_cdrsc|chen_2019_csq",2,37,10,235,235,TRUE,8695,FALSE,4.12440119560507
"doi:10.1371/journal.pone.0146545","koo_2016_comm_technique_use","koo_2016_comm_technique_use|koo_2016_comm_technique_opinion",2,30,12,211,212,FALSE,6342,FALSE,4.12428245529769
"doi:10.1371/journal.pone.0323656","duong_2025_tbl_experience","duong_2025_tbl_experience|duong_2025_tbl_confidence",2,23,4,186,186,TRUE,4278,FALSE,4.11617961088458
"bib:@misc{Rodrigues_2023,
  author = {Rodrigues, H. M. P.},
  title = {Trabalho docente e saúde mental de professores brasileiros na pandemia covid-19},
  year = {2023},
  url = {https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GMZUB5&version=1.0}
}","pinheiro_2023_srq","pinheiro_2023_srq|pinheiro_2023_trwcas",2,43,20,235,235,TRUE,10105,FALSE,4.08440119560507
"doi:10.3390/bs14100928","shi2024_ysq_parent","shi2024_ysq_parent|shi2024_ysq_adolescent|shi2024_sas",3,183,33,201,201,TRUE,36783,FALSE,4.08319605742049
"doi:10.1371/journal.pone.0206800","trevisan_2018_mscs","trevisan_2018_mscs|trevisan_2018_aq",2,127,50,836,1178,FALSE,132506,FALSE,4.07553961077235
"doi:10.1371/journal.pone.0268509","karpudewan_2022_stp_cca","karpudewan_2022_stp_cca|karpudewan_2022_stp_efa",2,62,29,300,397,FALSE,21413,FALSE,4.06378792138633
"doi:10.1371/journal.pone.0275292","yin_2022_values_importance","yin_2022_values_importance|yin_2022_gad7",2,20,7,153,153,TRUE,3060,FALSE,4.05135809748427
"doi:10.1371/journal.pone.0229926","niazi_2020_mfq_stereotype","niazi_2020_mfq_stereotype|niazi_2020_mfq",2,64,32,300,300,TRUE,19200,FALSE,4.050454588053
"doi:10.1371/journal.pone.0221754","dwyer_2019_clinton_activist","dwyer_2019_clinton_activist|dwyer_2019_clinton_cesd",2,28,8,167,167,TRUE,4676,FALSE,4.03604980448092
"doi:10.3758/s13428-025-02707-1","mclaughlin_samuel_2025_auditory_session_1","mclaughlin_samuel_2025_auditory_session_1|mclaughlin_samuel_2025_auditory_session_2",2,44,1,209,251,FALSE,9238,FALSE,4.02681295277772
"doi:10.1037/pspp0000572","lexical_difficulty_altgassen_2025_s01_knowledge","lexical_difficulty_altgassen_2025_s01_knowledge|lexical_difficulty_altgassen_2025_s01_personality|lexical_difficulty_altgassen_2025_s02_ws|lexical_difficulty_altgassen_2025_s03_per|lexical_difficulty_altgassen_2025_s02_gc",5,558,12,542,1106,FALSE,496784,FALSE,4.01399928653839
"doi:10.1371/journal.pone.0255039","bled_2021_imagery_use","bled_2021_imagery_use|bled_2021_imagery_phenomenology",2,10,3,119,119,TRUE,1190,FALSE,4.00888029472586
"doi:10.1371/journal.pone.0318347","zeng_2025_academic_buoyancy_cfa","zeng_2025_academic_buoyancy_cfa|zeng_2025_academic_buoyancy_efa",2,53,21,209,423,FALSE,15571,FALSE,3.96681295277772
"doi:10.18637/jss.v048.c01","ravens_deboeck2012","ravens_deboeck2012|stress_deboeck2012",2,46,11,185,503,FALSE,19640,FALSE,3.96050506173635
"doi:10.17605/osf.io/ejtzs","westhoff2023_pbat","westhoff2023_pbat|westhoff2023_stopd",2,23,5,113,113,TRUE,2599,FALSE,3.89974511015009
"doi:10.6084/m9.figshare.32714616.v1","quinello_2026_ai_maturity_technology","quinello_2026_ai_maturity_technology|quinello_2026_ai_maturity_dimensions",2,21,7,104,104,TRUE,2184,FALSE,3.87703333929878
"doi:10.1371/journal.pone.0205559","debacker_2018_justice_appraisal","debacker_2018_justice_appraisal|debacker_2018_decisionjustification",2,16,4,96,96,TRUE,1536,FALSE,3.8756045663729
"doi:10.1371/journal.pone.0316937","yang_2025_aiccs","yang_2025_aiccs|yang_2025_intercultural_contact",2,37,9,130,130,TRUE,4810,FALSE,3.86727668564017
"doi:10.1371/journal.pone.0290512","PMT_Trzcinska_2023_PMT","PMT_Trzcinska_2023_PMT|PMT_Trzcinska_2023_MVS|PMT_Trzcinska_2023_finans",3,87,9,26,204,FALSE,13654,FALSE,3.83497334797082
"doi:10.3352/jeehp.2024.21.32","borges_brazil_residency_2024_pbt","borges_brazil_residency_2024_pbt|borges_brazil_residency_2024_cbt",2,220,100,1994,3223,FALSE,586160,FALSE,3.83305848730897
"doi:https://utoronto.scholaris.ca/server/api/core/bitstreams/224f8380-df43-4dca-8ef5-e47d56930765/content","mfq_adolescent_athletes","mfq_adolescent_athletes|pcss_adolescent_athletes",2,55,22,155,155,TRUE,8525,FALSE,3.82366503150363
"doi:10.6084/m9.figshare.30693638.v2","senosy_2025_anxiety_trait","senosy_2025_anxiety_trait|senosy_2025_anxiety_state",2,40,20,121,121,TRUE,4840,FALSE,3.81611870364978
"doi:10.1093/postmj/qgae170","gilbert_meta_96","gilbert_meta_96|gilbert_meta_95",2,18,6,86,115,FALSE,1896,FALSE,3.81449845124357
"doi:10.1371/journal.pone.0323406","alkouri_2025_coping","alkouri_2025_coping|alkouri_2025_icu_stressors",2,48,19,127,127,TRUE,6096,FALSE,3.78380372095596
"doi:10.1371/journal.pone.0129015","ibrahim_2015_bfi","ibrahim_2015_bfi|ibrahim_2015_sf36",2,80,36,200,200,TRUE,16000,FALSE,3.76769666233065
"doi:10.25421/yorksj.16595141.v1","perfectionismlit_2021_engagement","perfectionismlit_2021_engagement|perfectionismlit_2021_prepost",2,8,3,65,68,FALSE,535,FALSE,3.75958002330952
"bib:@misc{Ranganathan2024,
  author = {Ranganathan, M},
  title = {Quarter-Life Crisis During the Pandemic: Career Indecision, Intolerance of Uncertainty, and Mental Well-Being},
  year = {2024},
  publisher = {figshare},
  doi = {10.6084/m9.figshare.26130403.v1},
  url = {https://doi.org/10.6084/m9.figshare.26130403.v1}
}","quarter_life_crisis__cd","quarter_life_crisis__cd|quarter_life_crisis__iuc",2,30,12,90,90,TRUE,2700,FALSE,3.75424250943932
"doi:10.1371/journal.pone.0216888","penningroth_2019_pm_concerns","penningroth_2019_pm_concerns|penningroth_2019_pm_goals",2,30,15,89,89,TRUE,2670,FALSE,3.74939000664491
