doi,n_tables,member_tables,total_items,min_n_participants,max_n_participants,n_categories_range,construct_types,n_distinct_construct,id_comparability_verified
10.1371/journal.pone.0152892,6,lorenz_2016_optimism2;lorenz_2016_resilience;lorenz_2016_efficacy2;lorenz_2016_efficacy1;lorenz_2016_hope;lorenz_2016_psycap,71,321,321,6-6,[untagged],1,VERIFIED_100pct
10.1371/journal.pone.0318449,6,singh_2025_identity_irs;singh_2025_identity_grit;singh_2025_identity_pss;singh_2025_identity_cse;singh_2025_identity_pba;singh_2025_identity_pds,64,1470,1470,5-6,[untagged];Opinion/attitude,2,not_tested
10.1027/1015-5759/a000668,5,prpt_hellmann_2021_selfesteem;prpt_hellmann_2021_achievementmotive;prpt_hellmann_2021_threat;prpt_hellmann_2021_realisticthreat;prpt_hellmann_2021_fearofcrime,66,1411,1416,4-5,Opinion/attitude;Personality,2,not_tested
10.1371/journal.pone.0199480,5,silva_2018_mbds;silva_2018_bsq;silva_2018_tfeq;silva_2018_phcs;silva_2018_whoqol,66,802,2198,5-28,[untagged],1,VERIFIED_100pct
10.1371/journal.pone.0229354,5,jablonska_2020_upward_comparison;jablonska_2020_hads;jablonska_2020_downward_comparison;jablonska_2020_rses;jablonska_2020_instagram_addiction,46,974,974,7-7,Affective/mental health;Behavioral;Opinion/attitude,3,VERIFIED_100pct
10.1371/journal.pone.0232232,5,neurodegenerative_huizinga_2019_vfq;neurodegenerative_huizinga_2019_dass;neurodegenerative_huizinga_2019_user;neurodegenerative_huizinga_2019_svc;neurodegenerative_huizinga_2019_feda,119,1461,1461,4-11,Affective/mental health;Behavioral;Cognitive/educational;Physical health/functioning,4,not_tested
10.1371/journal.pone.0298880,5,dvivdtws_ppmial_marcatto_2023_cwb;dvivdtws_ppmial_marcatto_2023_ocb;dvivdtws_ppmial_marcatto_2023_snaq;dvivdtws_ppmial_marcatto_2023_ocs;dvivdtws_ppmial_marcatto_2023_dtw,110,553,553,5-5,Behavioral;Opinion/attitude,2,not_tested
10.1371/journal.pone.0353067,5,ozkurt_2026_ego_orientation;ozkurt_2026_paces_enjoyment;ozkurt_2026_sport_motivation;ozkurt_2026_continuance_intention;ozkurt_2026_basic_psych_needs,54,374,374,5-7,[untagged],1,not_tested
10.17605/osf.io/6v5qb,5,assessment_time_fournier_2025_pmpuq;assessment_time_fournier_2025_upps;assessment_time_fournier_2025_phq;assessment_time_fournier_2025_gad;assessment_time_fournier_2025_bscs,64,398,398,4-5,Behavioral,1,not_tested
10.21203/rs.3.rs-9429022/v1,5,2024_online_addiction_bsmas;2024_online_addiction_igds;2024_online_addiction_sabas;ma2026_bsmas;ma2026_sabas,33,1108,1108,5-6,[untagged];Affective/mental health,2,not_tested
10.31219/osf.io/vq3ty,5,heard_roch_2022_swlpwi;heard_roch_2022_cope;heard_roch_2022_k6;heard_roch_2022_idss;heard_roch_2022_whodas,62,600,600,4-11,Affective/mental health,1,not_tested
10.31234/osf.io/fgbj4,5,genpsych_russell_2024_gpt3_5;genpsych_russell_2024_gemma;genpsych_russell_2024_mixtral;genpsych_russell_2024_llama3;genpsych_russell_2024_gpt4o,156,998,1001,5-5,Personality,1,not_tested
10.6084/m9.figshare.30195541.v1,5,merlo2025_eng_emotional;merlo2025_eng_agentic;merlo2025_eet;merlo2025_eng_cognitive;merlo2025_eng_comprehensive,72,1065,1065,6-7,[untagged],1,not_tested
10.1037/pas0001323,4,wemwbs_brummerhoffman_2021;whodas_brummerhoffman_2021;grit_brummerhoffman_2021;gad_brummerhoffman_2021,62,1828,1828,4-5,Affective/mental health,1,not_tested
10.1037/pas0001344,4,nas_rogoza_2024_study1;nas_rogoza_2024_study2_nvs;nas_rogoza_2024_study2_ngs;nas_rogoza_2024_study2_nas,72,353,369,7-7,Personality,1,not_tested
10.1080/10615806.2026.2624434,4,fomonegativeaffect_cremer_2026_phq;fomonegativeaffect_cremer_2026_rrs;fomonegativeaffect_cremer_2026_panas;fomonegativeaffect_cremer_2026_fomo,49,459,461,4-5,Affective/mental health,1,not_tested
10.1098/rsos.211998,4,beh_boredom_bieleke2022;bps_boredom_bieleke2022;bae_boredom_bieleke2022;ada_boredom_bieleke2022,54,636,636,6-7,Behavioral,1,not_tested
10.1371/journal.pone.0149202,4,ghanbari_2016_helma_reading;ghanbari_2016_helma_comm;ghanbari_2016_helma_understand;ghanbari_2016_helma_access,34,582,582,5-5,[untagged],1,not_tested
