table,dataset,n_items,n_participants,n_categories,n_responses,density,longitudinal,construct_type,ct_primary,affect_cog,item_format,measurement_tool,construct_name,doi,license
imos_2003,item_response_warehouse,6,457,8,2742,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2005,item_response_warehouse,6,513,8,3078,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1992,item_response_warehouse,6,350,8,2100,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2014,item_response_warehouse,6,560,8,3360,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2015,item_response_warehouse,6,577,8,3462,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2006,item_response_warehouse,6,498,8,2988,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2007,item_response_warehouse,6,520,8,3120,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1999,item_response_warehouse,6,450,8,2700,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2002,item_response_warehouse,6,479,8,2874,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2017,item_response_warehouse,6,615,8,3690,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2000,item_response_warehouse,6,461,8,2766,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2013,item_response_warehouse,6,527,8,3162,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1993,item_response_warehouse,6,413,8,2478,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2009,item_response_warehouse,6,565,8,3390,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
