"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"genpsych_russell_2024_gemma","item_response_warehouse",28,1001,5,28028,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five","10.31234/osf.io/fgbj4","CC0 1.0","4-5","affective/opinion | 4-5",1001,TRUE
"genpsych_russell_2024_gpt4o","item_response_warehouse",35,999,5,34965,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five","10.31234/osf.io/fgbj4","CC0 1.0","4-5","affective/opinion | 4-5",999,TRUE
"genpsych_russell_2024_llama3","item_response_warehouse",30,1001,5,30030,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five","10.31234/osf.io/fgbj4","CC0 1.0","4-5","affective/opinion | 4-5",1001,TRUE
"gillman_2023_pss","item_response_warehouse_3",10,404,5,4040,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0288563","CC BY 4.0","4-5","untagged | 4-5",404,TRUE
"goksel_2026_embarrassment_puremorality","item_response_warehouse_2",8,602,9,4816,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Morality (pure)","10.1037/pspa0000482","CC BY 4.0","8+","affective/opinion | 8+",602,TRUE
"goksel_2026_embarrassment_resilience","item_response_warehouse_2",9,899,5,8091,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Resilience","10.1037/pspa0000480","CC BY 4.0","4-5","affective/opinion | 4-5",899,TRUE
"grit_brummerhoffman_2021","item_response_warehouse",8,1828,5,14624,1,TRUE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Depression and anxiety question framing: The impact of asking about symptom's frequency, context, duration, ability and botherement - short version of the Grit Scale","10.1037/pas0001323","CC BY 4.0","4-5","affective/opinion | 4-5",1828,TRUE
"hao_2025_self_efficacy","item_response_warehouse_2",6,650,5,3900,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"data doi: 10.6084/m9.figshare.30397234.v1","CC BY 4.0","4-5","untagged | 4-5",650,TRUE
"heard_roch_2022_idss","item_response_warehouse",12,600,5,7200,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","International Depression Symptom Scale (IDSS) asked of refugees","10.31219/osf.io/vq3ty","CC BY 4.0","4-5","affective/opinion | 4-5",600,TRUE
"heard_roch_2022_whodas","item_response_warehouse",12,600,5,7200,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Difficulties due to health conditions asked of refugees","10.31219/osf.io/vq3ty","CC BY 4.0","4-5","affective/opinion | 4-5",600,TRUE
"herrera_2018_se_d_items","item_response_warehouse_3",8,439,7,3512,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0204494","CC BY 4.0","6-7","untagged | 6-7",439,TRUE
"hexaco_ashton_2014_c","item_response_warehouse",40,22786,7,911440,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","HEXACO Personality Inventory: Conscientiousness (C) Facets","na","CC BY 4.0","6-7","affective/opinion | 6-7",2000,FALSE
"hexaco_ashton_2014_h","item_response_warehouse",40,22786,7,911440,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","HEXACO Personality Inventory: Honesty-Humility (H) Facets","na","CC BY 4.0","6-7","affective/opinion | 6-7",2000,FALSE
"hui_2024_gbfs","item_response_warehouse_3",28,309,5,8652,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0300064","CC BY 4.0","4-5","untagged | 4-5",309,TRUE
"imos_1994","item_response_warehouse",6,385,8,2310,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",385,TRUE
"imos_1997","item_response_warehouse",6,460,8,2760,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",460,TRUE
"imos_2001","item_response_warehouse",6,473,8,2838,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",473,TRUE
"imos_2003","item_response_warehouse",6,457,8,2742,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",457,TRUE
"imos_2007","item_response_warehouse",6,520,8,3120,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",520,TRUE
"imos_2012","item_response_warehouse",6,547,8,3282,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",547,TRUE
"imos_2015","item_response_warehouse",6,577,8,3462,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Test","International Math Olympiad problems","na","CC0 1.0","8+","cognitive | 8+",577,TRUE
"jordan_2020_mindfulness","item_response_warehouse_3",12,539,5,6468,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0240667","CC BY 4.0","4-5","untagged | 4-5",539,TRUE
"kalichman1995_scs","item_response_warehouse_3",10,3215,4,32150,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1207/s15327752jpa6503_16","GPL-3.0","4-5","untagged | 4-5",2000,FALSE
"karajko2025_ai_benefit","item_response_warehouse_2",10,386,5,3860,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.7910/dvn/ireejj","CC0 1.0","4-5","untagged | 4-5",386,TRUE
"karajko2025_ai_governance","item_response_warehouse_2",6,386,5,2316,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.7910/dvn/ireejj","CC0 1.0","4-5","untagged | 4-5",386,TRUE
"lessr_mach4","item_response_warehouse",20,351,6,7020,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Survey/questionnaire","Machiavellian beliefs and personality: Construct invalidity of the Machiavellianism dimension","10.1037/0022-3514.43.6.1293","GPL-3.0","6-7","cognitive | 6-7",351,TRUE
"liu_2025_learning_motivation","item_response_warehouse_3",16,345,5,5520,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0330447","CC BY 4.0","4-5","untagged | 4-5",345,TRUE
"lorenz_2016_optimism2","item_response_warehouse_3",10,321,6,3210,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0152892","CC BY 4.0","6-7","untagged | 6-7",321,TRUE
"mental_health_wang_2024_phq","item_response_warehouse_2",9,958,4,8622,1,TRUE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Impact of COVID-19 - Anxiety","10.7910/dvn/t5taqa","CC0 1.0","4-5","affective/opinion | 4-5",958,TRUE
"merlo2025_eet","item_response_warehouse_2",29,1065,6,30885,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.30195541.v1","CC BY 4.0","6-7","untagged | 6-7",1065,TRUE
"merlo2025_eng_cognitive","item_response_warehouse_2",12,1065,7,12780,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.6084/m9.figshare.30195541.v1","CC BY 4.0","6-7","untagged | 6-7",1065,TRUE
