"table","replicate","seed","n_items","n_resp","n_resp_full","N_capped","OverallSD","OverallKurt","OverallRightKurt","VarColPC1","SkewColPC1","SkewColPC2","Skewness","Mean_Row_Corr","Row_Corr_Kurtosis","CorrRightKurt","Mean_Col_Kurtosis","Mean_SD_Ratio","PercentOut","intrinsicDemnsionalityProp","PercentOut_cells","OverallRightKurt_corrected","nrOut_raw","intrinsicDim_raw"
"frikha_2023_pe_ms",3,303,9,308,308,FALSE,1.32618772268084,-0.809777764464215,-1.90588635522389,3.92845378744502,-0.213850182850395,-0.114954562553202,-0.577464340750986,0.434553086990435,0.364526447748162,-1.09304491520322,1.45314986741675,0.777801564072736,55.5555555555556,0.333333333333333,0.0248917748917749,-1.94926695312341,5,3
"fukuda_2021_info_reliability",1,101,8,898,898,FALSE,1.02612780220232,-0.294601437573447,-1.7188816021165,2.91306443105629,-0.0458262171449637,0.21875390681209,-0.423883092814398,0.237145145309249,-0.467641995213943,-0.746668172963016,-0.030658102107227,0.902666022898868,50,0.25,0.0583240534521158,1.94851506502675,4,2
"fukuda_2021_info_reliability",2,202,8,898,898,FALSE,1.02612780220232,-0.294601437573447,-1.7188816021165,2.91306443105629,-0.0458262171449637,0.21875390681209,-0.423883092814398,0.237145145309249,-0.467641995213943,-0.746668172963016,-0.030658102107227,0.902666022898868,50,0.25,0.0583240534521158,1.94851506502675,4,2
"fukuda_2021_info_reliability",3,303,8,898,898,FALSE,1.02612780220232,-0.294601437573447,-1.7188816021165,2.91306443105629,-0.0458262171449637,0.21875390681209,-0.423883092814398,0.237145145309249,-0.467641995213943,-0.746668172963016,-0.030658102107227,0.902666022898868,50,0.25,0.0583240534521158,1.94851506502675,4,2
"gillman_2023_pss",1,101,10,396,396,FALSE,1.16607443561828,-0.648590484655189,-1.86224632271166,5.84439055403521,-0.243378580148923,0.629307789682012,-0.303117513455237,0.171779846414938,-0.662200229118254,-0.872883307622095,-0.520692352733742,0.898678763909386,50,0.3,0.0171717171717172,-1.1131857554094,5,3
"gillman_2023_pss",2,202,10,396,396,FALSE,1.16607443561828,-0.648590484655189,-1.86224632271166,5.84439055403521,-0.243378580148923,0.629307789682012,-0.303117513455237,0.171779846414938,-0.662200229118254,-0.872883307622095,-0.520692352733742,0.898678763909386,50,0.3,0.0171717171717172,-1.1131857554094,5,3
"gillman_2023_pss",3,303,10,396,396,FALSE,1.16607443561828,-0.648590484655189,-1.86224632271166,5.84439055403521,-0.243378580148923,0.629307789682012,-0.303117513455237,0.171779846414938,-0.662200229118254,-0.872883307622095,-0.520692352733742,0.898678763909386,50,0.3,0.0171717171717172,-1.1131857554094,5,3
"goksel_2026_embarrassment_puremorality",1,101,8,482,482,FALSE,1.47877000941752,0.0169123796466675,-1.99217234898786,10.5792489244094,0.248168779176958,0.460598131668773,-0.332555406173101,0.105264829625756,-0.661111965594291,-0.56605419274015,0.0841190956267505,0.978942050165316,50,0.25,0.00259336099585062,-0.952018874106119,4,2
"goksel_2026_embarrassment_puremorality",2,202,8,482,482,FALSE,1.47877000941752,0.0169123796466675,-1.99217234898786,10.5792489244094,0.248168779176958,0.460598131668773,-0.332555406173101,0.105264829625756,-0.661111965594291,-0.56605419274015,0.0841190956267505,0.978942050165316,50,0.25,0.00259336099585062,-0.952018874106119,4,2
"goksel_2026_embarrassment_puremorality",3,303,8,482,482,FALSE,1.47877000941752,0.0169123796466675,-1.99217234898786,10.5792489244094,0.248168779176958,0.460598131668773,-0.332555406173101,0.105264829625756,-0.661111965594291,-0.56605419274015,0.0841190956267505,0.978942050165316,50,0.25,0.00259336099585062,-0.952018874106119,4,2
"grit_brummerhoffman_2021",1,101,8,1797,1797,FALSE,1.26809991128999,-0.967420772148873,-1.98267153480511,5.08210182852696,-0.0360244740905873,-0.273091411320394,-0.25577434139933,0.118469111951822,-0.73835453238629,-0.82398140168494,-0.744705943365759,0.957803539825744,0,0.25,0,-1.93296181389304,0,2
"hao_2025_self_efficacy",1,101,6,620,620,FALSE,0.993434020813347,-0.408330172228191,-1.85116142899464,3.09891391833215,0.0163722834279114,0.0426889046249359,-0.105237350763457,0.222707824557133,-0.555247129164042,-0.897700462856476,-0.27205940948466,0.94453221015878,100,0.166666666666667,0.0276881720430108,-1.0281397589986,6,1
"hao_2025_self_efficacy",2,202,6,620,620,FALSE,0.993434020813347,-0.408330172228191,-1.85116142899464,3.09891391833215,0.0163722834279114,0.0426889046249359,-0.105237350763457,0.222707824557133,-0.555247129164042,-0.897700462856476,-0.27205940948466,0.94453221015878,100,0.166666666666667,0.0276881720430108,-1.0281397589986,6,1
